Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
42245,VÊTRE-SUR-ANZON,0,17262,0
42268,VÉZELIN-SUR-LOIRE,0,34785,0
43090,ESPLANTAS-VAZEILLES,24641,16281,0
43221,SAINT-PRIVAT-D'ALLIER,0,38601,0
43245,THORAS,3708,44538,0
44003,ANCENIS-SAINT-GEREON,0,120475,29358
44005,CHAUMES-EN-RETZ,218278,174945,0
44021,VILLENEUVE-EN-RETZ,197427,155905,312082
44029,DIVATTE-SUR-LOIRE,179317,153689,375124
44087,MACHECOUL-SAINT-MEME,225880,166219,350644
44163,VAIR-SUR-LOIRE,0,115225,234268
44180,VALLONS-DE-L'ERDRE,0,145285,106284
44213,LOIREAUXENCE,258864,211085,369864
45051,BRAY-SAINT AIGNAN,0,32472,7241
45129,DOUCHY - MONTCORBON,0,59127,0
45191,LE MALESHERBOIS,0,133118,131732
45307,SELLE-SUR-LE-BIED,0,29180,0
46033,PORTE-DU-QUERCY,14699,33510,0
46063,CASTELNAU MONTRATIER - SAINTE ALAUZIE,84378,70527,164657
46083,CRESSENSAC-SARRAZAC,0,32238,0
46103,SAINT-PAUL-FLAUGNAC,54923,44245,76823
46138,COEUR-DE-CAUSSE,0,63689,73025
46156,BELLEFONT - LA RAUZE,0,33911,0
46201,MONTCUQ-EN-QUERCY-BLANC,93469,76913,157765
46232,LE VIGNON-EN-QUERCY,23559,28372,0
46252,LES PECHS DU VERS,3609,17108,38952
46262,LENDOU-EN-QUERCY,0,27804,0
46263,BARGUELONNE-EN-QUERCY,26763,28813,0
46268,SAINT GÉRY - VERS,0,29714,75259
46311,SOUSCEYRAC-EN-QUERCY,36869,105847,104100
48009,PEYRE EN AUBRAC,0,172899,157826
48017,BANASSAC-CANILHAC,0,54393,67905
48027,MONT LOZERE ET GOULET,119072,89373,63264
48038,BEL-AIR-VAL-D'ANCE,0,34106,22986
48050,BEDOUES-COCURES,0,30341,0
48061,FLORAC TROIS RIVIERES,111588,91631,202173
48087,PRINSUEJOLS-MALBOUZON,0,42290,20945
48094,MASSEGROS CAUSSES GORGES,0,93299,40636
